area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female
district,Rompin,-3634.0,-5174.0,-4549.0,-4097.0,-4496.0,-5328.0,-5422.0,-5045.0,-3650.0,-2577.0,-2110.0,-2173.0,-1927.0,-1749.0,-1049.0,-339.0,-121.0,-57.0,3336.0,4715.0,4262.0,3762.0,3407.0,3481.0,3611.0,3299.0,2668.0,2280.0,2181.0,2321.0,2301.0,1636.0,761.0,302.0,161.0,84.0
district,Maran,-3805.0,-6540.0,-5989.0,-5607.0,-5175.0,-3946.0,-4692.0,-4855.0,-3816.0,-3345.0,-2596.0,-2081.0,-1511.0,-1485.0,-1772.0,-974.0,-409.0,-113.0,3540.0,5436.0,4904.0,5347.0,5241.0,2968.0,3747.0,3833.0,3398.0,2922.0,2435.0,2086.0,2020.0,2339.0,1966.0,841.0,432.0,164.0
district,Bera,-2847.0,-4972.0,-5035.0,-5016.0,-3814.0,-4716.0,-4687.0,-4587.0,-3778.0,-2886.0,-2214.0,-2160.0,-1566.0,-1623.0,-1297.0,-706.0,-393.0,-144.0,2849.0,4771.0,4891.0,4565.0,2795.0,3061.0,3283.0,3566.0,3306.0,2449.0,2177.0,2020.0,1700.0,1850.0,1304.0,591.0,370.0,148.0
district,Seberang Perai Tengah,-10885.0,-17874.0,-17272.0,-17775.0,-17951.0,-26846.0,-29689.0,-19980.0,-14471.0,-13408.0,-9334.0,-10838.0,-6718.0,-5960.0,-3249.0,-1459.0,-681.0,-316.0,10546.0,16324.0,15119.0,15642.0,15424.0,20678.0,20128.0,17099.0,14141.0,12376.0,9993.0,11096.0,7239.0,6157.0,3352.0,1602.0,859.0,509.0
district,Seberang Perai Utara,-12393.0,-16633.0,-14109.0,-13943.0,-12173.0,-14354.0,-16140.0,-16132.0,-12537.0,-11030.0,-8233.0,-8906.0,-5559.0,-4660.0,-3070.0,-1579.0,-703.0,-294.0,12493.0,15327.0,12871.0,13102.0,11357.0,13870.0,14706.0,15355.0,12453.0,10702.0,8522.0,8985.0,5824.0,4869.0,3134.0,1626.0,899.0,552.0
district,Seberang Perai Selatan,-5015.0,-8865.0,-7594.0,-6857.0,-5339.0,-7290.0,-9288.0,-10488.0,-7824.0,-6423.0,-3977.0,-5681.0,-3853.0,-2681.0,-1058.0,-314.0,-164.0,-54.0,5005.0,8044.0,6504.0,5979.0,4946.0,6899.0,14471.0,9564.0,7090.0,5373.0,3921.0,6656.0,3000.0,2249.0,893.0,333.0,193.0,122.0
district,Timur Laut,-16284.0,-26633.0,-16956.0,-15032.0,-18745.0,-24897.0,-27435.0,-32321.0,-22443.0,-18170.0,-13389.0,-17253.0,-11405.0,-9083.0,-6276.0,-3397.0,-1867.0,-846.0,15168.0,23074.0,14150.0,13816.0,22957.0,23739.0,26532.0,26785.0,20485.0,16537.0,14469.0,18056.0,12415.0,10337.0,7097.0,4177.0,2649.0,1700.0
district,Barat Daya,-8918.0,-10929.0,-9656.0,-8236.0,-8105.0,-11396.0,-12446.0,-12036.0,-9114.0,-7489.0,-5705.0,-5914.0,-3743.0,-3019.0,-1869.0,-936.0,-488.0,-204.0,7153.0,8773.0,7548.0,7069.0,11300.0,13268.0,11843.0,11079.0,8895.0,7089.0,5882.0,6036.0,4065.0,3317.0,2020.0,1085.0,660.0,453.0
district,Batang Padang,-4656.0,-6248.0,-5789.0,-5771.0,-5735.0,-5674.0,-5677.0,-5267.0,-4168.0,-3462.0,-3006.0,-3334.0,-2648.0,-2152.0,-1752.0,-941.0,-435.0,-211.0,3785.0,4820.0,4435.0,5272.0,4863.0,3791.0,4301.0,4060.0,3315.0,3071.0,2920.0,3457.0,2901.0,2494.0,1811.0,924.0,564.0,339.0
district,Manjung,-9121.0,-12188.0,-10293.0,-10311.0,-13251.0,-12899.0,-12400.0,-11875.0,-8273.0,-6961.0,-5881.0,-6730.0,-4568.0,-3635.0,-2392.0,-1308.0,-646.0,-336.0,8829.0,11199.0,9393.0,9685.0,8174.0,8466.0,9136.0,9001.0,7117.0,6427.0,6157.0,6702.0,4661.0,3610.0,2499.0,1400.0,882.0,571.0
