date,price
2023-12-14,3623.0
2023-12-15,3630.0
2023-12-16,NT
2023-12-17,PH
2023-12-18,3655.0
2023-12-19,3703.0
2023-12-20,3708.5
2023-12-21,3686.5
2023-12-22,3663.0
2023-12-23,NT
2023-12-24,PH
2023-12-25,PH
2023-12-26,3698.0
2023-12-27,3716.5
2023-12-28,NT
2023-12-29,NT
2023-12-30,NT
2023-12-31,PH
