date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-28,07:00:00,Labuan,Labuan,5.2803,115.2475,26.7,91,0.0,3.7,3,Clouds generally forming or developing
2024-08-28,07:00:00,Terengganu,Cukai,4.2332,103.4479,26.0,87,0.0,8.7,3,Clouds generally forming or developing
2024-08-28,07:00:00,Sarawak,Bintulu,3.17,113.03,25.4,93,0.0,3.3,3,Clouds generally forming or developing
2024-08-28,07:00:00,Sabah,Kota Kinabalu,5.975,116.0725,27.2,81,0.0,5.8,3,Clouds generally forming or developing
2024-08-28,07:00:00,Melaka,Melaka,2.1889,102.2511,24.9,91,0.0,4.7,3,Clouds generally forming or developing
2024-08-28,07:00:00,Sarawak,Miri,4.4028,113.9933,26.4,93,0.0,6.0,3,Clouds generally forming or developing
2024-08-28,07:00:00,Johor,Kluang,2.0336,103.3194,24.1,97,0.0,2.6,3,Clouds generally forming or developing
2024-08-28,07:00:00,Putrajaya,Putrajaya,2.93,101.69,23.5,92,0.0,0.4,3,Clouds generally forming or developing
2024-08-28,07:00:00,Pahang,Kuantan,3.8167,103.3333,25.9,89,0.0,12.6,3,Clouds generally forming or developing
2024-08-28,07:00:00,Perak,Teluk Intan,4.0259,101.0213,23.8,97,0.0,4.3,3,Clouds generally forming or developing
2024-08-28,07:00:00,Johor,Batu Pahat,1.85,102.93,24.8,94,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,07:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,24.8,93,0.0,4.0,3,Clouds generally forming or developing
2024-08-28,07:00:00,Negeri Sembilan,Seremban,2.7297,101.9381,23.0,95,0.0,2.9,3,Clouds generally forming or developing
2024-08-28,07:00:00,Perak,Taiping,4.85,100.7333,24.7,91,0.0,6.6,3,Clouds generally forming or developing
2024-08-28,07:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.8,95,0.0,3.5,3,Clouds generally forming or developing
2024-08-28,07:00:00,Johor,Muar,2.05,102.56,26.6,84,0.0,10.0,3,Clouds generally forming or developing
2024-08-28,07:00:00,Sabah,Tawau,4.2448,117.8911,26.5,90,0.0,5.0,3,Clouds generally forming or developing
2024-08-28,07:00:00,Selangor,Shah Alam,3.0833,101.5333,23.6,88,0.0,2.7,3,Clouds generally forming or developing
2024-08-28,06:00:00,Sarawak,Miri,4.4028,113.9933,26.3,95,0.0,4.7,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
