weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
3,Clouds generally forming or developing,05:00:00,27.0,82,0.0,4.4,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-02-06
80,"Rain shower(s), slight",05:00:00,25.5,90,0.0,7.0,Sarawak,Miri,4.4028,113.9933,2026-02-06
3,Clouds generally forming or developing,05:00:00,27.2,82,0.0,4.4,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
1,Clouds generally dissolving or becoming less developed,05:00:00,25.5,85,0.0,16.1,Kedah,Alor Setar,6.1167,100.3667,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,25.0,94,0.0,2.9,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
3,Clouds generally forming or developing,05:00:00,24.1,93,0.0,2.9,Sarawak,Kuching,1.5397,110.3542,2026-02-06
1,Clouds generally dissolving or becoming less developed,05:00:00,26.0,82,0.0,10.7,Perlis,Kangar,6.4333,100.2,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,24.7,94,0.0,2.9,Selangor,Petaling Jaya,3.1073,101.6067,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,25.7,86,0.0,2.6,Selangor,Klang,3.0333,101.45,2026-02-06
80,"Rain shower(s), slight",05:00:00,25.8,87,0.0,9.4,Labuan,Labuan,5.2803,115.2475,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,25.1,93,0.0,2.9,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
3,Clouds generally forming or developing,05:00:00,22.6,95,0.0,2.3,Kelantan,Kota Bharu,6.1333,102.25,2026-02-06
80,"Rain shower(s), slight",05:00:00,24.1,86,0.0,3.8,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
3,Clouds generally forming or developing,05:00:00,24.4,89,0.0,4.6,Johor,Johor Bahru,1.4556,103.7611,2026-02-06
3,Clouds generally forming or developing,05:00:00,25.0,86,0.0,17.3,Melaka,Melaka,2.1889,102.2511,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",05:00:00,20.8,100,0.0,2.1,Pahang,Raub,3.7931,101.8569,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",05:00:00,22.2,97,0.0,2.4,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-02-06
3,Clouds generally forming or developing,05:00:00,26.1,82,0.0,7.0,Sabah,Tawau,4.2448,117.8911,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,24.6,92,0.0,1.1,Putrajaya,Putrajaya,2.93,101.69,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",05:00:00,25.1,91,0.0,7.9,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,25.3,93,0.0,3.4,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",04:00:00,22.4,97,0.0,2.7,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-02-06
3,Clouds generally forming or developing,04:00:00,27.4,80,0.0,4.5,Pulau Pinang,George Town,5.4145,100.3292,2026-02-06
2,State of sky on the whole unchanged,04:00:00,25.6,85,0.0,13.2,Johor,Muar,2.05,102.56,2026-02-06
3,Clouds generally forming or developing,04:00:00,24.0,92,0.0,6.1,Johor,Kluang,2.0336,103.3194,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,25.6,90,0.0,7.9,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
3,Clouds generally forming or developing,04:00:00,24.5,90,0.0,4.8,Johor,Johor Bahru,1.4556,103.7611,2026-02-06
3,Clouds generally forming or developing,04:00:00,24.3,84,0.0,5.2,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
3,Clouds generally forming or developing,04:00:00,27.5,80,0.0,4.5,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
3,Clouds generally forming or developing,04:00:00,23.6,93,0.0,5.1,Sabah,Lahad Datu,5.03,118.34,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,25.2,91,0.0,2.4,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
3,Clouds generally forming or developing,04:00:00,22.6,95,0.0,2.5,Kelantan,Kota Bharu,6.1333,102.25,2026-02-06
3,Clouds generally forming or developing,04:00:00,27.2,80,0.0,4.5,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,25.1,93,0.0,3.4,Selangor,Petaling Jaya,3.1073,101.6067,2026-02-06
80,"Rain shower(s), slight",04:00:00,25.8,88,0.0,9.7,Labuan,Labuan,5.2803,115.2475,2026-02-06
3,Clouds generally forming or developing,04:00:00,25.6,88,0.0,7.9,Sabah,Sandakan,5.8388,118.1173,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,25.9,86,0.0,2.3,Selangor,Klang,3.0333,101.45,2026-02-06
2,State of sky on the whole unchanged,04:00:00,26.3,81,0.0,6.4,Sabah,Tawau,4.2448,117.8911,2026-02-06
2,State of sky on the whole unchanged,04:00:00,24.6,92,0.0,5.8,Johor,Batu Pahat,1.85,102.93,2026-02-06
2,State of sky on the whole unchanged,04:00:00,25.7,84,0.0,16.6,Kedah,Alor Setar,6.1167,100.3667,2026-02-06
80,"Rain shower(s), slight",04:00:00,24.2,93,0.0,2.4,Pahang,Kuala Lipis,4.184,102.042,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,25.0,89,0.0,2.2,Putrajaya,Putrajaya,2.93,101.69,2026-02-06
80,"Rain shower(s), slight",04:00:00,25.5,90,0.0,7.9,Sarawak,Miri,4.4028,113.9933,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,27.7,87,0.0,3.6,Perak,Taiping,4.85,100.7333,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",04:00:00,26.2,89,0.0,4.3,Sarawak,Bintulu,3.17,113.03,2026-02-06
2,State of sky on the whole unchanged,04:00:00,25.1,86,0.0,18.1,Melaka,Melaka,2.1889,102.2511,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",04:00:00,21.0,99,0.0,2.4,Pahang,Raub,3.7931,101.8569,2026-02-06
3,Clouds generally forming or developing,04:00:00,24.0,94,0.0,3.1,Sarawak,Kuching,1.5397,110.3542,2026-02-06
3,Clouds generally forming or developing,04:00:00,23.2,94,0.0,4.2,Pahang,Kuantan,3.8167,103.3333,2026-02-06
3,Clouds generally forming or developing,04:00:00,26.1,80,0.0,4.2,Kedah,Sungai Petani,5.65,100.48,2026-02-06
2,State of sky on the whole unchanged,04:00:00,25.4,92,0.0,4.5,Sabah,Kota Kinabalu,5.975,116.0725,2026-02-06
3,Clouds generally forming or developing,04:00:00,26.1,82,0.0,11.8,Perlis,Kangar,6.4333,100.2,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",03:00:00,26.3,84,0.0,2.2,Selangor,Klang,3.0333,101.45,2026-02-06
80,"Rain shower(s), slight",03:00:00,25.6,93,0.0,3.4,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
3,Clouds generally forming or developing,03:00:00,25.7,88,0.0,7.7,Sabah,Sandakan,5.8388,118.1173,2026-02-06
3,Clouds generally forming or developing,03:00:00,27.7,78,0.0,4.8,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",03:00:00,21.1,99,0.0,1.8,Pahang,Raub,3.7931,101.8569,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",03:00:00,26.2,88,0.0,5.4,Sarawak,Bintulu,3.17,113.03,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",03:00:00,25.6,88,0.0,2.5,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
3,Clouds generally forming or developing,03:00:00,23.9,92,0.0,5.6,Sabah,Lahad Datu,5.03,118.34,2026-02-06
80,"Rain shower(s), slight",03:00:00,25.8,88,0.0,10.5,Labuan,Labuan,5.2803,115.2475,2026-02-06
2,State of sky on the whole unchanged,03:00:00,25.3,85,0.0,17.6,Melaka,Melaka,2.1889,102.2511,2026-02-06
3,Clouds generally forming or developing,03:00:00,24.8,91,0.0,6.0,Johor,Batu Pahat,1.85,102.93,2026-02-06
2,State of sky on the whole unchanged,03:00:00,26.3,82,0.0,12.3,Perlis,Kangar,6.4333,100.2,2026-02-06
1,Clouds generally dissolving or becoming less developed,03:00:00,26.5,80,0.0,6.9,Sabah,Tawau,4.2448,117.8911,2026-02-06
3,Clouds generally forming or developing,03:00:00,22.9,95,0.0,3.0,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-02-06
3,Clouds generally forming or developing,03:00:00,27.4,78,0.0,4.8,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-02-06
3,Clouds generally forming or developing,03:00:00,26.4,83,0.0,4.4,Kedah,Sungai Petani,5.65,100.48,2026-02-06
2,State of sky on the whole unchanged,03:00:00,25.5,87,0.0,0.8,Putrajaya,Putrajaya,2.93,101.69,2026-02-06
2,State of sky on the whole unchanged,03:00:00,26.0,83,0.0,16.2,Kedah,Alor Setar,6.1167,100.3667,2026-02-06
2,State of sky on the whole unchanged,03:00:00,25.7,85,0.0,13.4,Johor,Muar,2.05,102.56,2026-02-06
3,Clouds generally forming or developing,03:00:00,25.7,91,0.0,4.2,Sabah,Kota Kinabalu,5.975,116.0725,2026-02-06
3,Clouds generally forming or developing,03:00:00,27.6,78,0.0,4.8,Pulau Pinang,George Town,5.4145,100.3292,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",03:00:00,24.3,92,0.0,2.6,Pahang,Kuala Lipis,4.184,102.042,2026-02-06
3,Clouds generally forming or developing,03:00:00,24.6,90,0.0,5.9,Johor,Johor Bahru,1.4556,103.7611,2026-02-06
2,State of sky on the whole unchanged,03:00:00,24.1,92,0.0,6.9,Johor,Kluang,2.0336,103.3194,2026-02-06
80,"Rain shower(s), slight",03:00:00,28.2,87,0.0,3.3,Perak,Taiping,4.85,100.7333,2026-02-06
3,Clouds generally forming or developing,03:00:00,26.3,92,0.0,6.4,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
3,Clouds generally forming or developing,03:00:00,23.0,94,0.0,2.5,Kelantan,Kota Bharu,6.1333,102.25,2026-02-06
3,Clouds generally forming or developing,03:00:00,23.4,93,0.0,4.5,Pahang,Kuantan,3.8167,103.3333,2026-02-06
