district_mukim,avg_floorsm,rental_2021,rental_2022,location,types,source
A'famosa Golf Resort,110.0,,1000,Alor Gajah ,SINGLE STOREY  DETACH,2022/MELAKA
"Taman Alor, Kelemak",130.0,,1050,Alor Gajah ,SINGLE STOREY  DETACH,2022/MELAKA
Taman Belimbing Setia,131.0,1000,1000,Alor Gajah ,SINGLE STOREY  DETACH,2022/MELAKA
     Ground Floor,94.0,1000,1000,Taman Kota Laksamana,TOWNHOUSE,2022/MELAKA
     First Floor,70.0,550,550,Taman Bukit Katil Permai,TOWNHOUSE,2022/MELAKA
     Ground Floor,88.0,780,780,Taman Bukit Cheng,TOWNHOUSE,2022/MELAKA
     Ground Floor,102.0,550,550,Taman Merdeka ,TOWNHOUSE,2022/MELAKA
     Ground Floor,60.0,800,800,Taman Merdeka Jaya (Aeronotik Taipan),TOWNHOUSE,2022/MELAKA
     Ground Floor,70.0,700,700,Taman Permatang Pasir,TOWNHOUSE,2022/MELAKA
     Ground Floor,71.0,700,700,Taman Tanjung Minyak Perdana,TOWNHOUSE,2022/MELAKA
Rumah Pangsa Bandar Hilir,51.0,300,300,Melaka Town,LOW - COST FLAT,2022/MELAKA
"Taman Anika, Lorong Pandan",46.0,300 - 400,300 - 400,Melaka Town,LOW - COST FLAT,2022/MELAKA
"Taman Aunler, Kampong Lapan",48.0,300 - 400,300 - 400,Melaka Town,LOW - COST FLAT,2022/MELAKA
Rumah Pangsa Ayer Keroh,51.0,270 - 350,270 - 350,Melaka Tengah,LOW - COST FLAT,2022/MELAKA
Taman Tasik Utama,65.0,470 - 500,490 - 600,Melaka Tengah,LOW - COST FLAT,2022/MELAKA
Rumah Pangsa Taman Seri Paya Rumput,65.0,330,330,Alor Gajah,LOW - COST FLAT,2022/MELAKA
"Garden City, Bandar Hilir",53.0,450,450,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
Pangsapuri Kota Laksamana Utama,69.0,400 - 500,400 - 500,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
Pangsapuri Laksamana Cheng Ho,54.0,450,450,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
"Prime Square, Bandar Hilir",63.0,400,400,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
Rumah Pangsa Seri Putri,52.0,400,400,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
Taman Tengkera Jaya Fasa 1 (R P Taman Siantan),80.0,400,400,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
Taman Kenanga Seksyen 3,90.0,600,600,Melaka Town,MEDIUM - COST FLAT,2022/MELAKA
Pangsapuri Cheng Ria,80.0,450 - 650,450 - 650,Melaka Tengah,MEDIUM - COST FLAT,2022/MELAKA
"Pangsapuri Malim Jaya, Malim",61.0,450 - 500,450 - 500,Melaka Tengah,MEDIUM - COST FLAT,2022/MELAKA
Pangsapuri Padang Jambu,70.0,450,450,Melaka Tengah,MEDIUM - COST FLAT,2022/MELAKA
Rumah Pangsa Pantai Mas,84.0,400,400,Melaka Tengah,MEDIUM - COST FLAT,2022/MELAKA
"Taman Bukit Senjuang, Ujong Pasir",78.0,420,420,Melaka Tengah,MEDIUM - COST FLAT,2022/MELAKA
Garden City,91.0,1300 - 1500,1300 - 1500,Melaka Town,APARTMENT,2022/MELAKA
"Pangsapuri Hilir Kota, Bandar Hilir",81.0,750 - 900,750 - 900,Melaka Town,APARTMENT,2022/MELAKA
Pangsapuri Parameswara (Kemajuan Lajak),102.0,750,750,Melaka Town,APARTMENT,2022/MELAKA
Pangsapuri Park View Court (Kenanga Sek. 3),103.0,1100,1100,Melaka Town,APARTMENT,2022/MELAKA
Pangsapuri Serindit,91.0,,570,Melaka Town,APARTMENT,2022/MELAKA
Pangsapuri Sungai Naga Jalan Tun Sri Lanang,76.0,560,560,Melaka Town,APARTMENT,2022/MELAKA
Kiara Mutiara Apartment,72.0,800,800,Melaka Tengah ,APARTMENT,2022/MELAKA
Pangsapuri Bukit Beruang Bestari,95.0,1300,1300,Melaka Tengah ,APARTMENT,2022/MELAKA
Pangsapuri Bukit Beruang Utama (Universiti),100.0,1000,1000,Melaka Tengah ,APARTMENT,2022/MELAKA
"Pangsapuri Laksamana 1, Jalan Thamby Abdullah",71.0,600,600,Melaka Tengah ,APARTMENT,2022/MELAKA
Pangsapuri Pelangi,103.0,600 - 680,600 - 680,Melaka Tengah ,APARTMENT,2022/MELAKA
Pangsapuri Peringgit Indah,84.0,600 - 650,700,Melaka Tengah ,APARTMENT,2022/MELAKA
Pangsapuri Taman Tasik Utama,95.0,550 - 600,550 - 600,Melaka Tengah ,APARTMENT,2022/MELAKA
"Kondominium Carina, Ujong Pasir",106.0,1600,1600,Melaka Town,CONDOMINIUM,2022/MELAKA
Kondominium Casa Lago,107.0,2000,2000,Melaka Town,CONDOMINIUM,2022/MELAKA
"Kondominium Harmoni, Ujong Pasir",141.0,1800,1800,Melaka Town,CONDOMINIUM,2022/MELAKA
Kondominium Pasir Emas,118.0,1500,1500,Melaka Town,CONDOMINIUM,2022/MELAKA
"Kondominium Pasir Mutiara, Ujong Pasir",106.0,1200,1200,Melaka Town,CONDOMINIUM,2022/MELAKA
Cheng Heights Condominium,102.0,1300 - 1500 ,1300 - 1500,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Casuarina, Klebang",110.0,700,700,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondoninium Golden Shower, Klebang ",84.0,1000,1000,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Golden Coast, Klebang ",86.0,800,800,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,108.0,1800,1800,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Lagenda, Klebang",85.0,800,800,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,92.0,900,900,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,127.0,1000,1000,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Ocean Palms, Klebang",111.0,2000,2000,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,131.0,2500,2500,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,96.0,1400 - 1650,1400 - 1650,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Permata Idaman, Klebang",103.0,1300,1300,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,103.0,1500,1500,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,135.0,1700,1700,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,135.0,2000,2000,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Siantan Puri, Kampung Lapan",108.0,1600,1600,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,143.0,1100,1100,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Selat Horizan, Klebang ",86.0,1100,1100,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,91.0,650,1100,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Seri Bayan, Klebang",167.0,2000,2000,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,167.0,3000,3000,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,102.0,1600,1600,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
"Kondominium Samudera, Tanjung Keling",79.0,600,600,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
,118.0,1800,1800,Melaka Tengah ,CONDOMINIUM,2022/MELAKA
     Low Rise,102.0,2000,2000,Klebang Delima  Condominium ,CONDOMINIUM,2022/MELAKA
     High Rise,146.0,3000,3000,Klebang Delima  Condominium ,CONDOMINIUM,2022/MELAKA
The Heights Residence,78.0,1200 - 1300,1200 - 1300,Klebang Delima  Condominium ,CONDOMINIUM,2022/MELAKA
"Tropicana Residence, Taman Sentosa",119.0,1700,1700,Klebang Delima  Condominium ,CONDOMINIUM,2022/MELAKA
,126.0,1700 - 2000,1700 - 2000,Klebang Delima  Condominium ,CONDOMINIUM,2022/MELAKA
Bevery Hill Condominium A'Famosa Resort,105.0,1100,1100,Alor Gajah,CONDOMINIUM,2022/MELAKA
Taman Angsamas,55.0,300 - 350,300 - 350,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Bidara, Seremban",50.0,400,400,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Nuri Indah,50.0,300 - 400,300 - 400,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Desa Rhu,65.0,450 - 500,450 - 500,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Margosa Height,48.0,300 - 350,300 - 350,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Mutiara Galla,61.49,400,400,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Senawang Jaya,61.0,350 - 450,350 - 450,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Seremban Jaya,58.0,400 - 450,400 - 450,Seremban,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Ekar,60.0,300 - 350,300 - 350,Port Dickson,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Jimah Jaya,50.0,250 - 300,250 - 300,Port Dickson,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Rumah Rakyat Bahau,60.0,400,400,Jempol,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bahau,54.0,300 - 350,300 - 350,Jempol,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Mawar, Batu Kikir",56.0,300 - 350,300 - 350,Jempol,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Meranti, Bahau   ",60.0,350 - 400,350 - 400,Jempol,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sri Mahsan,57.0,300 - 350,300 - 350,Jempol,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sri Serting,54.0,350 - 400,350 - 400,Jempol,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Clonlee, Tampin",59.0,250 - 300,250 - 300,Tampin,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Gunung Mas, Repah",54.0,220 - 280,220 - 280,Tampin,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Repah Baru,57.0,200 - 250,200 - 250,Tampin,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Intan ,55.0,300 - 350,300 - 350,Kuala Pilah,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Desa Chembong,53.0,250 - 280,250 - 280,Rembau,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sri Chembong,54.0,250 - 280,250 - 280,Rembau,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Naga Mas,58.0,250 - 300,250 - 300,Jelebu,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sri Desa,54.0,200 - 300,200 - 300,Jelebu,SINGLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Bandar Seremban Selatan,79.0,500 - 600,500 - 600,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bidara,80.0,350 - 450,350 - 450,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Kristal,62.0,500 - 600,500 - 600,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Nuri Indah,74.0,500 - 650,500 - 650,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Sentosa,60.205,650,650,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Bunga Raya, Mantin",81.0,500,500,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Cempaka (Rantau),61.38,350,350,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Desa Temiang,87.0,350 - 400,350 - 400,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Merbok Ria,70.0,600,600,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Permai,74.0,450 - 550,450 - 550,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sri Pagi,60.0,350 - 400,350 - 400,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Thivy Jaya,65.0,460 - 500,460 - 500,Seremban,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Perdana,71.0,300 - 400,300 - 400,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman D'Ambang Kota,67.0,300 - 350,300 - 350,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Desa PD,68.0,300,300,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Intan Perdana,71.0,350 - 450,350 - 450,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman PD Utama,70.0,400 - 500,400 - 500,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Politeknik,77.0,450 - 550,450 - 550,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Vista Jaya,79.0,800 - 900,800 - 900,Port Dickson,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bahau,65.0,400 - 450,500,Jempol,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Cempaka,60.0,350 - 450,350 - 450,Jempol,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Serting Indah,70.0,500,500,Jempol,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Tampin,62.0,300 - 350,300 - 350,Tampin,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Clonlee,64.0,300 - 350,300 - 350,Tampin,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Gunung Mas,57.0,250 - 300,250 - 300,Tampin,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sri Intan,68.0,200 - 250,200 - 250,Tampin,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Angsana,60.0,450,450,Kuala Pilah,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Bahagia Delima,70.0,500,500,Kuala Pilah,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Pedas Indah,68.0,200 - 300,200 - 300,Rembau,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Pinggiran Pedas,66.0,300 - 350,300 - 350,Rembau,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
Taman Sedia Raja,66.0,300 - 350,300 - 350,Rembau,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Naga Mas, Gelami Lemi ",58.0,250 - 300,250 - 300,Jelebu,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
"Taman Sri Desa, Pertang",54.0,250 - 300,250 - 300,Jelebu,SINGLE STOREY MEDIUM - COST TERRACE,2022/NEGERI SEMBILAN
"Aria Park, Citra Hill",112.0,1100,1100,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
"Garden Avenue, Seremban 2",68.0,550 - 650,500 - 800,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
"Garden Homes, Seremban 2",78.0,700 - 850,700 - 850,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Seremban 3,86.0,850 - 1000,850 - 1000,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Ampangan Jaya,78.0,500,500,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Angsamas,84.0,650,650,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bandar Senawang,84.0,700 - 800,700 - 800,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Chedang,70.0,500 - 600,500 - 600,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Galena,81.0,700 - 800,700 - 800,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Kaya,93.0,850,850,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Kelisa,89.0,700,700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Kristal,115.85, 600-700, 600-700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Mantin,87.0,600,600,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Mutiara,73.0,650,650,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Nuri Indah,91.0,650,700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bunga Blossom,86.0,600 - 650,600 - 650,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bunga Raya (Mantin),81.0,400 - 500,400 - 500,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Cengal Utama,88.0,450 - 550,450 - 550,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Chip Aik,99.0,600 - 650,600 - 650,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
"Taman College Heights, Sikamat",78.0,500 - 600,500 - 600,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Cempaka (Bandar Baru Nilai),86.0,650 - 750,650 - 750,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Jasmin (Bandar Baru Nilai),89.0,600 - 750,600 - 750,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Temiang,76.0,400,400,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Jasper Jaya,69.0,650 - 800,800,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Kemuning,85.0,600 - 650,600 - 650,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Labu Jaya,99.0,700,700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Layang - Layang,72.0,500 - 600,500 - 600,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Mantin,89.0,350 - 400 ,350 - 400 ,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Margosa Height,94.0,500 - 600,500 - 600,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Mutiara Galla,74.0,600 - 750,600 - 750,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Nilai Perdana,78.0,400 - 450,400 - 450,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Nusa Intan,112.0,600 - 750,600 - 750,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Nusari Aman @ Bandar Sri Sendayan,102.0,550 - 850,550 - 850,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Nusari Bayu @ Bandar Sri Sendayan,72.0,550 - 600,550 - 600,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Oakland,74.0,650 - 700,650 - 700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Panchor Jaya,85.0,450 - 550,450 - 550,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Paroi Jaya,83.0,450 - 500,450 - 500,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Permai,102.0,700 - 750,700 - 750,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Rasah Jaya,74.0,550 - 800,550 - 800,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Senawang Jaya,85.0,600 - 700,600 - 700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Seremban Jaya,71.0,700,700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Seremban Selatan,79.0,600 - 800,600 - 800,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sikamat Utama,75.0,400,400,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Tuanku Jaafar,73.0,500 - 700,500 - 700,Seremban,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Bandar Springhill,91.0,500 - 600,500 - 600,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Dataran Segar,98.0,770 - 900,800 - 1000,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Green View Resort Homes,83.0,450 - 500,450 - 500,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Anika,72.0,400 - 500,400 - 500,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bayu Indera ,101.73,750 - 900,800 - 1000,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Minang,97.0,500 - 550,500 - 550,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Muhibbah,91.0,350 - 400,350 - 400,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman PD Permata,85.0,750,750,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman PD Utama,73.0,350 - 400,350 - 400,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Ria (PD),98.0,550,550,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sri Aman,74.0,350,350,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sunggala Hartamas,99.0,500 - 600,500 - 600,Port Dickson,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman ACBE,86.0,500 - 550,500 - 600,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
"Taman Areca, Bandar IOI Bahau",94.0,500 - 600,500 - 650,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Dato Muda (Batu Kikir),82.0,300 - 350,300 - 350,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Puteri,85.0,550 - 600,700,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Juara ,99.0,400 - 600,400 - 600,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Kasih Putera,98.0,550 - 750,650 - 700,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Mahsan,78.0,450 - 500,550,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Mawar (Batu Kikir),58.0,300 - 350,300 - 350,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Medang,120.0,600,600,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Megah,84.0,450 - 500,450 - 500,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Meranti,84.0,500 - 700,600 - 700,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Rasa Sayang,97.0,450 - 500,450 - 500,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Satelite,78.0,500 - 600,480 - 650,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Serting Jaya,84.0,350 - 400,350 - 400,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Serting Utama,75.0,550 - 600,550 - 600,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sri Mahsan,89.0,450 - 550,450 - 550,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Zamrud,90.0,500 - 550,500 - 550,Jempol,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Tuanku Besar,78.0,300 - 400,300 - 400,Tampin,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sri Belian,88.0,300 - 400,300 - 400,Tampin,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Indah Satelite,107.0,400 - 500,400 - 500,Tampin,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Clonlee,104.0,600,650,Tampin,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bahagia Delima,72.0,450 - 550,450 - 550,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Bukit Pilah Perdana,94.0,500 - 600,500 - 600,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Melang,135.0,600,600,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Fatimah,119.0,400,400,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Pilah Jaya,70.0,650,650,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Selaseh,74.0,500,500,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sri Juasseh,77.59,430 - 450,430 - 450,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Wira Jaya,84.0,600 - 700 ,600 - 700 ,Kuala Pilah,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Rembau Jaya,96.0,350 - 400,350 - 400,Rembau,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Rembau Permata,84.0,350 - 450,350 - 450,Rembau,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Sri Rembau,72.0,300 - 350,300 - 350,Rembau,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
,73.59,550,550,Rembau,SINGLE STOREY TERRACE,2022/NEGERI SEMBILAN
Taman Desa Pinggiran Bayu,82.0,350,350,Seremban,DOUBLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Dusun Setia,69.0,400 - 450,400 - 450,Seremban,DOUBLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Rasah Jaya 11,71.0,500 - 550,500 - 550,Seremban,DOUBLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
Taman Seremban Jaya,62.0,350 - 450,350 - 450,Seremban,DOUBLE STOREY LOW - COST TERRACE,2022/NEGERI SEMBILAN
