district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Taman Gemilang,1.0,74.0,70.14,400000,448000,12,Mukim Kuala Lumpur,DOUBLE STOREY MEDIUM COST,2022/WP KL
Bandar Baru Sri Petaling,9.0,84.3591111111111,83.68444444444444,350000 - 515000,355000 - 550000,-2.366983205306565,Mukim Petaling,DOUBLE STOREY MEDIUM COST,2022/WP KL
Taman Sri Rampai,5.0,83.4,106.064,440000 - 545000,485000 - 560000,10.309527926681648,Mukim Setapak,DOUBLE STOREY MEDIUM COST,2022/WP KL
Wangsa Melawati,9.0,88.03666666666666,90.9111111111111,490000 - 610000,445000 - 700000,-3.3772981614708186,Mukim Setapak,DOUBLE STOREY MEDIUM COST,2022/WP KL
Jalan Bangsar,1.0,116.961,140.01000000000002,1150000 - 1350000,1350000,9.459459459459467,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP KL
Taman Seputeh,2.0,219.0,193.055,1200000 - 1500000,1500000 - 1550000,15.806554301655346,DOUBLE STOREY TERRACE,DOUBLE STOREY TERRACE,2022/WP KL
Taman Maluri,2.0,153.2825,200.9375,675000 - 880000,700000 - 835000,-2.4281718789727944,Mukim Ampang,DOUBLE STOREY TERRACE,2022/WP KL
Bandar Menjalara (Desa Seri Mahkota),9.0,166.44444444444446,154.90666666666664,785000 - 1180000,750000 - 1100000,-2.7074953505471284,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Batu Housing,1.0,159.0,164.44,,806000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Desa Parkcity (Amelia Garden Homes),4.0,172.0,266.04375,2190000 - 2790000,2350000 - 2580000,Stable,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Desa  Park City (Nadia),1.0,126.0,198.56,1830000 - 1935000,1850000,Stable,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Desa Park City (Zenia),3.0,147.0,212.5,,2330000 - 2600000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Kepong Garden,7.0,135.28571428571428,168.30714285714288,700000 - 860000,730000 - 930000,5.84198486714764,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Segambut Garden,1.0,149.0,249.125,620000,680000,9.67741935483871,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Megah Kepong,1.0,130.0,174.935,800000 - 1000000,960000,5.4945054945054945,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Prima Pelangi,2.0,136.5,181.80175,778000 - 918000,840000 - 900000,2.9992107340173684,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Rowther,1.0,130.0,145.52,800000 - 810000,800000,Stable,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Batu,1.0,139.0,156.545,,950000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Bukit Maluri,21.0,171.0,154.14630952380952,720000 - 1038000,710000 - 1280000,9.285551904437147,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman City,1.0,129.0,150.64,,800000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Eastern,1.0,121.0,166.755,730000 - 765000,800000,7.023411371237458,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Emas,1.0,139.0,168.44,,935000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Fadason,1.0,143.0,180.4555,1080000,980000,-9.25925925925926,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Indah,1.0,130.0,174.515,,1050000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Intan Baiduri,5.0,139.0,150.62820000000002,560000 - 765000,648000 - 838000,5.092896174863388,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Mastiara,3.0,117.33333333333333,131.89,550000 - 810000,500000 - 878000,Stable,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Melewar,1.0,142.0,173.91000000000003,,760000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Rainbow,2.0,153.25,172.74,,1000000 - 1050000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sejahtera,1.0,133.0,178.905,,750000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman SPPK Segambut,1.0,130.0,109.55,,652000,ND,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sri Bintang,1.0,153.0,185.17000000000002,1220000,1250000,2.459016393442623,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
Taman Wahyu,5.0,153.26,201.968,738000 - 850000,715000 - 850000,Stable,Mukim Batu,DOUBLE STOREY TERRACE,2022/WP KL
