district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Skim Perumahan Desa Changkat Lada       ,1.0,130.0,56.89,,76000,ND,Perak Tengah,SINGLE STOREY LOW COST TERRACED,2022/PERAK
Bandar Seri Botani,1.0,100.0,61.0,,200000,ND,Ipoh City,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Klebang Putra,1.0,102.0,66.0,,180000,ND,Ipoh City,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Meru 3C,1.0,121.0,62.0,,177000,ND,Ipoh City,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Meru Jaya,1.0,111.0,61.0,,195000,ND,Ipoh City,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Pertama (Silibin),1.0,104.0,60.0,170000,187000,10,Ipoh City,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Seri Rapat,1.0,121.0,64.0,,170000,ND,Ipoh City,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Mewah Baru                          ,2.0,111.0,56.0,130000,115000 - 130000,-5.8,Kinta,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Pusing Mewah                        ,1.0,139.0,78.0,,135000,ND,Kinta,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Raia Gemilang                       ,1.0,130.0,89.0,,220000,ND,Kinta,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Sri Cahaya               ,1.0,111.0,61.0,,170000,ND,Kinta,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Tualang Fasa II                     ,1.0,130.0,95.0,,69000,ND,Kinta,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Lawan Kuda                          ,1.0,153.0,85.0,,170000,ND,Kampar,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Bandar Universiti,1.0,130.0,69.0,180000 - 200000,173000,-8.9,Perak Tengah,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Sri Kenangan                        ,1.0,130.0,76.0,,150000,ND,Perak Tengah,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Mas                                 ,2.0,130.0,67.0,190000 - 250000,190000 - 265000,Stable,Manjung,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Emas Fasa 2 (Seri Emas Jaya),2.0,111.0,74.0,175000 - 188000,173000 - 180000,-3.6,Kuala Kangsar,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Kota Wira                           ,3.0,112.0,67.0,140000 - 180000,140000 - 195000,2.3,Larut Matang,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Lela I                              ,3.0,111.0,72.0,145000 - 190000,150000 - 200000,3.1,Larut Matang,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Mas                                 ,1.0,111.0,66.0,170000 - 175000,175000,Stable,Larut Matang,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Mewah (Assam Kumbang),11.0,121.0,64.0,145000 - 200000,150000 - 210000,Stable,Larut Matang,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
"Taman Sungai Mas Fasa IV, V & VI",5.0,107.0,65.0,185000 - 200000,180000 - 220000,2.3,Larut Matang,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Bandar Lembah Beriah                    ,1.0,139.0,60.0,80000,80000,Stable,Kerian,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Serai Perdana,1.0,121.0,74.0,168000 - 170000,170000,Stable,Kerian,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Menteri (Selama)                    ,1.0,111.0,69.0,,170000,ND,Selama,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Taman Desa Baiduri,1.0,121.0,80.0,,230000,ND,Hulu Perak,SINGLE STOREY MEDIUM COST TERRACED,2022/PERAK
Bandar Baru Putra                       ,3.0,130.0,65.0,200000 - 260000,185000 - 240000,-5.7,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Bandar Seri Botani                      ,3.0,130.0,88.0,235000 - 270000,270000 - 300000,8.387096774193544,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Desa Lahat Sri - Wang                    ,2.0,121.0,84.0,210000 - 240000,230000 - 265000,10,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Halaman Pengkalan Sentosa               ,1.0,121.0,73.0,165000 - 195000,185000,2.8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Jalan Chung Ah Ming                       ,1.0,161.59949999999998,116.21,198000,200000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Medan Klebang Harmoni                   ,1.0,143.0,85.04,250000,270000,8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Medan Klebang Restu                     ,4.0,111.0,66.0,170000 - 225000,190000 - 220000,10.9,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
,2.0,153.0,97.0,220000 - 250000,240000 - 250000,4.3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Medan Lahat Baru                        ,1.0,139.0,78.08,,100000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Medan Lapangan Permata                  ,1.0,164.0,85.43,,215000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Medan Pengkalan Bidari                  ,2.0,130.0,78.65,,160000 - 180000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Panorama Lapangan Perdana               ,4.0,130.0,90.125,230000 - 275000,253000 - 305000,8.9,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
,1.0,153.0,82.0,260000,295000,13.5,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Parkview Sentosa                        ,2.0,130.0,81.96,240000,235000 - 240000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Pekan Razaki                            ,3.0,164.0,97.0,228000 - 260000,230000 - 260000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Anda                                ,2.0,143.66666666666666,81.33,195000,180000 - 200000,-2.6,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Arena Perpaduan Sentosa             ,2.0,130.0,77.19,210000,218000 - 240000,9.047619047619047,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Bercham Jaya                        ,1.0,121.0,60.59,190000,180000,-5.263157894736842,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
,1.0,164.0,94.23,230000,250000,8.695652173913043,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Berjaya, Tanjung Rambutan                ",1.0,111.0,67.775,180000 - 205000,200000,2.6,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Bintang (Moonlight)                 ,3.0,143.2762,88.352,198000 - 200000,180000 - 220000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Boon Bak                            ,2.0,143.05400000000003,96.376,240000 - 250000,210000 - 265000,-3.7,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Bukit Merah                         ,3.0,124.6,78.812,,160000 - 178000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Canning                             ,12.0,173.0,96.0,285000 - 310000,285000 - 330000,4.1,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Chemor                              ,2.0,194.0,97.0,220000,200000 - 230000,-2.3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Chemor Gemilang                     ,2.0,132.0,78.08,220000 - 250000,240000 - 260000,6.382978723404255,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Chemor Idaman                       ,1.0,149.0,97.0,200000 - 220000,200000,-4.8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Chepor Jaya                         ,3.0,120.75,66.9,170000,167000 - 190000,5.294117647058823,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Cherry                              ,1.0,156.072,106.95,165000,160000,-3.0303030303030303,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Desa Aman, Ipoh                     ",3.0,121.0,74.0,160000 - 236000,170000 - 210000,-3.5,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Chemor Impian                  ,1.0,130.025,79.16,200000 - 210000,190000,-8.1,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Chemor Sejahtera               ,4.0,125.0,70.314,180000,195000 - 200000,10.4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Chemor Setia                   ,1.0,130.0,84.48,190000 - 240000,230000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Kebudayaan                     ,3.0,139.38,67.1,238000,220000 - 230000,-5.7,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Kencana                        ,2.0,126.0,79.91,175000 - 200000,170000 - 226000,5.6000000000000005,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Pelancongan II              ,2.0,111.0,72.125,204000 - 210000,228000 - 230000,10.629622651536012,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Pengkalan                      ,3.0,127.0,76.86,,190000 - 250000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Pengkalan Bandaraya            ,3.0,143.0,92.0,230000 - 240000,230000 - 260000,6.4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Tambun                         ,2.0,153.0,82.30166666666668,210000 - 225000,200000 - 220000,-2.3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Emas Chemor                         ,1.0,121.0245,55.0,170000,185000,8.823529411764707,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Endah Jaya                          ,1.0,153.0,89.28,,180000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Gerbang Tanjung Idaman              ,1.0,111.0,66.34,170000,180000,5.88235294117647,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Halaman Meru Permai                 ,3.0,130.0,76.0,215000 - 280000,230000 - 270000,2.9,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Hillview, Ipoh                      ",3.0,143.0396,85.776,180000 - 220000,200000 - 230000,6.666666666666672,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Hoover                              ,2.0,170.936,125.29,200000,200000 - 250000,12.5,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Impiana Adril                       ,4.0,111.0,67.74,170000 - 190000,173000 - 185000,-3.4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Indah,Tanjung Rambutan                  ",1.0,143.0,68.4,177000 - 215000,200000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Ipoh                                ,7.0,143.0,94.0,290000 - 325000,280000 - 330000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Ipoh Selatan                        ,2.0,143.03866666666667,95.47500000000001,280000 - 320000,280000 - 320000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Ipoh Timur                          ,4.0,139.04444444444445,90.82,220000 - 290000,245000 - 280000,10.4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Jaya Delima                         ,1.0,121.0,71.0,190000,188000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Kampar                              ,1.0,128.0,79.0,158000 - 233000,180000,-7.9,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Kemuncak                            ,1.0,139.0,91.81,270000 - 285000,270000,-3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Kinding Raya                        ,1.0,130.03333333333333,69.14,195000 - 215000,202000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Klebang Bayu                        ,1.0,163.5,85.84,,240000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Klebang Emas                        ,1.0,130.0,89.35,,280000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Klebang Jaya                        ,3.0,123.0,66.0,170000 - 180000,170000 - 200000,9.6,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Klebang Putra                       ,5.0,122.0,75.0,200000 - 250000,200000 - 270000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Klebang Ria                         ,4.0,130.0,79.0,,218000 - 240000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Kledang Sentosa                     ,5.0,135.2978,83.56999999999998,165000 - 193000,175000 - 200000,8.040770101925254,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Lapangan Kiara                      ,1.0,130.1,90.64166666666667,250000 - 300000,270000,-3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Lim, Ipoh                           ",2.0,174.189,94.68,,95000 - 115000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Malar                               ,1.0,111.0,57.4,198000,205000,3.535353535353535,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Malaysia                            ,1.0,143.066,91.8,256000,285000,11.328125,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Mas Chepor                          ,3.0,112.0,62.06600000000001,175000 - 220000,200000 - 225000,9.3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Menglembu Timur                     ,2.0,130.0,83.57,210000 - 216000,230000 - 250000,12.676056338028168,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Merdeka                             ,3.0,154.801,90.35142857142857,170000 - 230000,170000 - 240000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Meru 3C                             ,4.0,131.0,71.88374999999999,160000 - 190000,142000 - 193000,-3.8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Meru Perdana                        ,4.0,117.4375,72.42124999999999,220000 - 270000,200000 - 270000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Mewah, Bercham                      ",1.0,125.0,70.14500000000001,190000 - 220000,205000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman On                                  ,1.0,138.33333333333334,78.05,175000,173000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Panorama                            ,3.0,111.0,68.482,185000 - 230000,215000 - 240000,8.433734939759036,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Pengkalan Jaya                      ,1.0,143.0,92.48,195000,220000,12.82051282051282,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Pengkalan Timah                     ,1.0,130.0,68.38999999999999,180000 - 220000,200000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Pengkalan Utama                     ,1.0,134.5,83.99,230000,240000,4.3478260869565215,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Permai, Ipoh                        ",2.0,164.0,83.87,200000 - 220000,200000 - 250000,7.142857142857142,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Perpaduan                           ,3.0,153.0,67.0,135000 - 215000,150000 - 200000,5.1,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Perpaduan Koperasi                  ,2.0,121.0,80.0,180000 - 250000,180000 - 200000,-8.7,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Pertama (Silibin)                   ,5.0,143.06140000000002,96.80466666666668,200000 - 250000,210000 - 250000,5.9,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Pinji Mewah                         ,2.0,130.0,75.69666666666667,160000,170000 - 185000,10.9375,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Puncak Jelapang Maju                ,5.0,122.0,74.94125,190000 - 225000,188000 - 220000,2.4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Puteri Lindungan Bulan              ,2.0,127.8,73.934,170000 - 190000,175000 - 178000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Putra Indah                  ,2.0,121.0,72.44,200000 - 240000,195000 - 210000,-5.813953488372093,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Putra Permai                        ,2.0,116.0,72.71666666666665,198000,180000 - 235000,4.8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Rapat Setia Baru                    ,2.0,139.0,91.2,,200000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Rishah                              ,4.0,140.15644444444445,81.95000000000002,190000 - 240000,210000 - 250000,5,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Saikat                              ,1.0,143.0,89.78,,180000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Seri Ampang                         ,2.0,130.0,83.57,210000,197000 - 220000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Seri Perkasa                        ,1.0,130.0,81.4425,180000 - 235000,210000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Shatin                              ,1.0,143.04950000000002,83.75,240000 - 260000,260000,4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Shatin Baru                         ,3.0,143.0,90.23500000000001,200000,210000 - 230000,8.333333333333329,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Silibin                             ,1.0,143.05,102.0,180000 - 200000,170000,-12.1,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Sinfar                              ,1.0,143.066,84.0,160000 - 188000,170000,-2.3,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman SPPK                                ,5.0,143.0,92.45222222222223,175000 - 220000,180000 - 210000,3.2,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Sri Tanjung                         ,2.0,130.0,81.74,,150000 - 155000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman SSI Kinding                      ,3.0,127.625,63.26,170000 - 210000,180000 - 210000,5.1,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Tambun                              ,1.0,143.10666666666668,96.53000000000002,178000 - 180000,195000,8.938547486033519,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
"Taman Tanjung Bakti, Tanjung Rambutan          ",1.0,153.0,101.06,260000,256000,Stable,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Tanjung Mewah                       ,1.0,130.0,78.2,,178000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Tasek Damai                         ,1.0,152.0,76.75,200000 - 220000,200000,-4.8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Tasek Putra                         ,2.0,129.22222222222223,70.0,140000 - 170000,155000 - 165000,2.6,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Tawas Mewah                         ,1.0,111.0,68.77,185000 - 240000,190000,-8.8,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Uk Raya                             ,1.0,102.0,60.59,,180000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Wah Keong                           ,2.0,163.5,91.7625,292000 - 300000,278000 - 280000,-5.743243243243244,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Wang                                ,5.0,111.0,63.2,,200000 - 225000,ND,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Taman Wing Onn                            ,5.0,143.88888888888889,90.26333333333332,180000 - 240000,200000 - 250000,4,Ipoh City,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Tronoh (Taman Tronoh Baru),1.0,130.0,90.0,,210000,ND,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Bandar Pusing Perdana (Bandar Phoenix),1.0,121.0,74.0,185000,180000,-2.7,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Batu Gajah Perdana,3.0,143.0,90.0,167000 - 217000,200000 - 210000,10.9,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Bemban Raya,3.0,119.0,72.0,175000 - 180000,168000 - 180000,Stable,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Bemban Setia,1.0,130.0,66.0,130000 - 180000,150000,-7.2,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Chenderong Jaya,1.0,130.0,73.0,,185000,ND,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Sengat Aman (Pecahan Lot 138766),1.0,130.0,93.0,300000 - 308000,315000,3.6,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Medan Bali Emas,1.0,111.0,74.0,,155000,ND,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Metro Pengkalan,1.0,130.0,83.0,190000 - 200000,205000,4.2,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Pelangi Batu Gajah,1.0,111.0,61.0,,150000,ND,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Pelangi Saujana,2.0,130.0,93.0,,238000,ND,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Pinggiran Saujana,2.0,130.0,80.0,,180000 - 185000,ND,Kinta,SINGLE STOREY TERRACE,2022/PERAK
"Taman Pusing Baru Fasa 2A, 2C",1.0,153.0,68.0,190000 - 200000,198000,Stable,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Pusing Delima,4.0,130.0,91.0,189000 - 199000,210000 - 220000,10,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Raia Damai,1.0,128.0,75.0,150000 - 180000,180000,8,Kinta,SINGLE STOREY TERRACE,2022/PERAK
"Taman Raia Indah, Kampung Kepayang",4.0,137.0,85.0,185000 - 235000,200000 - 240000,7.2,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Tronoh Hijau,1.0,125.0,81.0,140000 - 155000,130000,-11.9,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Tronoh Rasi,2.0,130.0,96.0,150000 - 165000,160000 - 180000,6.3,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Taman Tronoh Universiti,1.0,117.0,75.0,175000 - 215000,200000,3.9,Kinta,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Kampar                      ,3.0,111.0,63.47000000000001,151000 - 180000,150000 - 160000,-9.001956947162432,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Selatan                     ,1.0,121.0,72.38,225000,250000,13.333333333333334,Kampar,SINGLE STOREY TERRACE,2022/PERAK
"Taman Aman, Mambang Diawan                ",1.0,121.0,74.42,150000 - 155000,170000,11.475409836065573,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Awan Jaya                           ,1.0,121.0,83.69,,230000,ND,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Awan Mas                            ,2.0,117.0,74.35,210000,200000 - 210000,-2.4,Kampar,SINGLE STOREY TERRACE,2022/PERAK
"Taman Bandar Baru Utama, Kampar           ",3.0,121.0,72.68,200000,185000 - 200000,-4.5,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Gopeng Bistari                      ,1.0,131.5,88.48,230000,225000,-2.2,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Jeram                               ,1.0,143.0,72.36,,90000,ND,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Kampar Jaya                         ,1.0,164.0,89.96,170000,160000,-5.88235294117647,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Kampar Perdana                      ,1.0,130.0,81.32,,170000,ND,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Kampar Putra                        ,12.0,123.48148148148148,86.47703703703702,155000 - 210000,150000 - 210000,Stable,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Kinta Baru                          ,3.0,133.20000000000002,73.76666666666667,,160000 - 220000,ND,Kampar,SINGLE STOREY TERRACE,2022/PERAK
"Taman Perak, Kampar                       ",1.0,130.0,69.03,200000,181000,-9.5,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Sejahtera Indah,1.0,121.0,77.23,170000,155000,-8.823529411764707,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Taman Sejahtera Utama                     ,1.0,130.0,71.79,180000 - 190000,175000,-6.249999999999996,Kampar,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 1A & 1B,5.0,143.0,84.0,,180000 - 230000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2A,2.0,168.0,79.0,,250000 - 260000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2B,2.0,130.0,84.0,,260000 - 285000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2C1 - 2C2,3.0,133.0,76.0,220000 - 270000,250000 - 280000,9.5,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2E,2.0,143.0,80.0,230000 - 255000,214000 - 235000,-7.4,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2F,3.0,143.0,88.0,190000 - 250000,220000 - 230000,2.3,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2G1 - 2G2,2.0,143.0,73.0,200000 - 250000,230000 - 270000,9.5,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2H,1.0,149.0,75.0,270000,270000,Stable,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2I,1.0,149.0,75.0,230000 - 260000,245000,Stable,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 2J,1.0,149.0,72.0,210000 - 280000,260000,6.1,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 3B,1.0,124.0,72.0,200000 - 230000,210000,Stable,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Sri Manjung Fasa 3C,5.0,130.0,74.0,200000 - 260000 ,200000 - 250000,-4,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Bandar Baru Setia Awan Perdana,3.0,121.0,85.0,170000 - 220000,186000 - 210000,4.7,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Desa Manjung Point 2,4.0,133.0,93.0,250000 - 280000,260000 - 285000,3,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Astaka Jaya (Pecahan Lot 10324),1.0,160.0,91.0,,255000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Ayer Tawar Jaya,1.0,130.0,80.0,200000,190000,-5,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Bahtera,1.0,130.0,79.0,200000,210000,5,Manjung,SINGLE STOREY TERRACE,2022/PERAK
"Taman Berjaya, Sitiawan",2.0,143.0,91.0,190000,170000 - 180000,7.9,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Bintang I Pantai Remis,1.0,130.0,78.0,,175000,-7.9,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Bintang Sitiawan,2.0,121.0,78.0,,230000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Bunga Matahari (Tambahan),1.0,130.0,125.0,,140000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Bunga Raya Pantai Remis,1.0,111.0,63.0,,155000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Kruing,1.0,149.0,75.0,,120000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
Taman Desa Pangkor,2.0,130.0,83.0,,219000,ND,Manjung,SINGLE STOREY TERRACE,2022/PERAK
