Store,Address,state
KA LONG MINI MARKET,"B32-34, JALAN KAMPUNG PADANG 2, TAMAN IMPIANKU 25200 KUANTAN PAHANG",PAHANG
SEGI FRESH IJOK,"NO. 6,8,10 JALAN IJOK UTAMA 4 TAMAN IJOK UTAMA 46520 BATANG BERJUNTAI SELANGOR",SELANGOR
PASARAYA EKONOMI SCH,"61-66, BATU 2, JALAN LANGGAR, 05460 ALOR SETAR, KEDAH 05460 ALOR SETAR KEDAH",KEDAH
BATU 11 MART,"LOT 1825, BATU 11 KETEREH 16450 KOTA BHARU KELANTAN",KELANTAN
SEGI FRESH TANJUNG MALIM,"PT 17028, 17029, 17030, 17031, 17032, 17033 & 17034 JALAN PERMAI 1 TAMAN KETOYONG PERMAI 35900 TANJUNG MALIM PERAK",PERAK
PASAR BORONG MATAHARI (NILAI),"LOT 20730, JALAN BBN 1/2H, PUSAT BANDAR PUTRA POINT 71800 NILAI NEGERI SEMBILAN",NEGERI SEMBILAN
RS TAWAKAL ENTERPRISE,NO 18/2 LORONG TAWAKAL SRI GADING 83300 BATU PAHAT JOHOR,JOHOR
99 SPEEDMART SDN BHD (BDR TUN RAZAK) - 3066,"NO : 13 & 14 (GROUND FLOOR), KEDAI TDK, PUSAT BANDAR, BANDAR TUN RAZAK, 26900 BANDAR TUN ABDUL RAZAK PAHANG",PAHANG
CHOP LEE HONG SUPERMARKET,NO. 89-90 (LOT 334 & 335 MTD) JALAN KAPITAN LIM CHIING KIAT 98050 BARAM SARAWAK,SARAWAK
KIM HOCK SUPERMARKET @GAFU SUPERMARKET -SIBU,"SUBLOT 5-17 ( NEW LOT 4111-4123) HELD IN PARENT LOT 1852, BLOCK 3 SIBU TOWN DISTRICT 96000 SIBU SARAWAK",SARAWAK
CHOP SWEE HIN CHAN (M) SDN BHD,"NO. 4,5,6 & 7, HEAWOOD GARDEN 31100 SUNGAI SIPUT PERAK",PERAK
