Store,Address,State,Latitude,Longitude
WAN HO 55 MART,"1, PTD 7129 JLN PERSIARAN BAYU DAMAI 1/3 TAMAN BAYU DAMAI 81600 PENGERANG JOHOR",JOHOR,1.3865362,104.2749596
HAKRI FOOD MARKETING SDN.BHD.,NO 72-75 LOTS 910-915.STD SIBURAN BAZAAR BATU 17 JALAN KUCHING/SERIAN 94200 KUCHING SARAWAK,SARAWAK,1.3887715,110.3626512
B.J.S TRADING,"NO.29, PASAR BARU, SIMUNJAN 94800 KUCHING SARAWAK",SARAWAK,1.3955284,110.7502449
SIN KIAN SENG,"NO. 10, PASAR BARU SIMUNJAN 94800 SIMUNJAN SARAWAK",SARAWAK,1.3955284,110.7502449
SING PING PING,NO.3 PASAR BARU 94800 SIMUNJAN SARAWAK,SARAWAK,1.3955284,110.7502449
CHOP SIN SENG,"NO. 17 & NO. 18, PASAR BARU SIMUNJAN 94800 SIMUNJAN SARAWAK",SARAWAK,1.3955284,110.7502449
NSK TRADE CITY (NUSAJAYA) SDN BHD,"LOT G-01, PUSAT KOMERSIAL SUNWAY MARKETPLACE, PERSIARAN MEDINI 6, SUNWAY ISKANDAR, BANDAR MEDINI ISKANDAR 79250 ISKANDAR PUTERI JOHOR",JOHOR,1.3968784,103.6306476
DOREMART BETONG,"LOT 12-19, BETONG NEW TOWNSHIP (PHASE 3) 95700 BETONG SARAWAK",SARAWAK,1.4038476,111.5404809
LEPAPA SUPERMARKET JAMBUSAN BAU,"SL 24-27,LOT 1229-1301,BLOCK 12,SPLD TAMAN MUTIARA SHOPHOUSE,JALAN JAMBUSAN 94000 BAU 94000 BAU SARAWAK",SARAWAK,1.4065928,110.1693266
EVERWIN CENTRE (7 MILES) SDN BHD,"GF & 1F, LOT 2561-2570(SL31-40), BLK 233 KNLD, JALAN KUCHING/SERIAN 93250 KUCHING SARAWAK",SARAWAK,1.409293,110.3354461
NAM LEONG - BETONG,LOTS 627-629 JALAN SIE KWANG NGAK 95700 BETONG SARAWAK,SARAWAK,1.4104871,111.5287576
MING MING SUPERMARKET SDN BHD,"LOT 335, BAU BAZAAR, KUCHING 94000 BAU SARAWAK",SARAWAK,1.415382,110.152358
EVERWIN CENTRE (BAU) SDN BHD,"SL 9-16, PL 864, BLOCK 9, SENGGI-POAK LAND DISTRICT 94000 BAU SARAWAK",SARAWAK,1.4157901,110.1550419
BS SUPERMART SDN BHD (BAU),"LOT 268-272, BLOCK B JALAN MARKET BAU, BAU TOWN DISTRICT 94000 BAU SARAWAK",SARAWAK,1.4165698,110.1550204
KK SUPER MART (BAU KUCHING),"NO.66, JALAN DATUK TEMENGGONG SALAU 94000 BAU SARAWAK",SARAWAK,1.417888,110.1559113
UPWELL SUPERMARKET SDN BHD - BAU,"LOT 704, BAU TOWN DISTRICT SUBLOT 1-7, JALAN SERINGGOK 94000 BAU SARAWAK",SARAWAK,1.4187399,110.156369
MYDIN ANJUNG BAZAAR NUSAJAYA,"LOT 25, ANJUNG NEIGHBOURHOOD CENTRE NO 5, PERSIARAN LEDANG HEIGHTS 79250 NUSAJAYA JOHOR",JOHOR,1.4239048,103.61728
SEN SEN DEPARTMENTAL STORE (BATU 10),GROUND FLOOR SUBLOT 1-10 LOT 2210 M 10 COMMERCIAL CENTRE BATU 10 JALAN KUCHING SERIAN 93250 KUCHING SARAWAK,SARAWAK,1.4247391,110.3284085
EVERBEST CENTRAL ENTERPRISE,"GROUND FLOOR, LOT 2439-2440, BLOCK 71, KCLD (S/L 12-13), 238-237, PEKAN BATU 10 (KOTA PADAWAN) JALAN KOTA PADAWAN, LORONG KOTA PADAWAN 10B1A2 93250 KOTA PADAWAN SARAWAK",SARAWAK,1.4263246,110.3263886
H&L RETAIL SDN BHD (KOTA PADAWAN MALL),"LOT 2382, BLK 71 KCLD 148, PEKAN BARU BATU 10 KOTA PADAWAN, JALAN PADAWAN 93250 KUCHING SARAWAK",SARAWAK,1.4263246,110.3263886
TRIMAJU COLDSTORAGE (PADAWAN) SDN BHD,"NO.46,LOT 2513,BLOCK 71,KCLD,GROUND FLOOR 93250 KOTA PADAWAN SARAWAK",SARAWAK,1.426621,110.3265119
H&L RETAIL SDN BHD (MJC),"NO.33, H-K KOTA PEDAWAN 10TH MILE BAZAAR, PENRISSEN RD 93250 KUCHING SARAWAK",SARAWAK,1.4268167,110.3264162
H&L RETAIL SDN BHD (10TH MILE),"NO.33, H-K KOTA PEDAWAN 10TH MILE BAZAAR, PENRISSEN RD 93250 KUCHING SARAWAK",SARAWAK,1.4268167,110.3264162
KK SUPER MART (KOTA SENTOSA KUCHING),"NO.14, KOTA SENTOSA, JALAN PENRISSEN 93250 KUCHING SARAWAK",SARAWAK,1.4268167,110.3264162
H&L RETAIL SDN BHD (SERIAN),"NO.33, H-K KOTA PEDAWAN 10TH MILE BAZAAR, PENRISSEN RD 93250 KUCHING SARAWAK",SARAWAK,1.4268167,110.3264162
NAHMEE TRADING (M) SDN BHD - BATU 32ND,"SL-20, LOT 10 BAKI JUNCTION, 32ND MILE, JALAN KUCHING-SERIAN 94700 SERIAN SARAWAK",SARAWAK,1.4330202,110.3284071
LEPAPA HYPERMARKET SERIAN,"NO 113.LOT 1456,SERIAN PIAZZA,JALAN DATUK MICHEAL BEAN ,94700 SERIAN 94700 SERIAN SARAWAK",SARAWAK,1.4347731,110.3282515
DOREMART KUCHING KOTA SAMARAHAN,"LOT 1293-1297, BLOCK 25, MTLD, G89 & G93 TAMAN SAMARINDAH BARU 94300 KOTA SAMARAHAN SARAWAK",SARAWAK,1.4353313,110.3942253
